id,original_title,title,bag_of_words
819,The Unforgiven,The Unforgiven,Romance Western Drama Italiano JamesProductions Hill-Hecht-LancasterProductions BurtLancaster AudreyHepburn AudieMurphy JohnSaxon LillianGish CharlesBickford JosephWiseman JohnHuston AlanLeMay BenMaddow brothersisterrelationship texas farm frontier nativeamerican racism stolenchild 
820,Shattered,Shattered,Mystery Thriller English PalacePictures Metro-Goldwyn-Mayer(MGM) TomBerenger BobHoskins GretaScacchi JoanneWhalley CorbinBernsen DebiA.Monahan BertRosario WolfgangPetersen RichardNeely WolfgangPetersen riddle amnesia wife plasticsurgery headphysician suspense privatedetective 
821,28 Days Later,28 Days Later,Horror Thriller ScienceFiction Español English DNAFilms BritishFilmCouncil CillianMurphy NaomieHarris NoahHuntley ChristopherDunne EmmaHitching AlexanderDelamere KimMcGarrity DannyBoyle AlexGarland BrianEno londonengland taxi manchestercity submachinegun gasstation survivor daughter laboratory hospital zombie brutality church violence rage epidemic military virus wakingfromcoma animalresearch 
822,Angst essen Seele auf,Ali: Fear Eats the Soul,Romance Drama العربية Deutsch FilmverlagderAutoren TangoFilm BrigitteMira ElHedibenSalem BarbaraValentin IrmHermann ElmaKarlowa AnitaBucher GustiKreissl RainerWernerFassbinder RainerWernerFassbinder germany foreigner parentchildrelationship wifehusbandrelationship unsociability german-turkishlivingtogether newgermancinema 
823,Man's Favorite Sport?,Man's Favorite Sport?,Comedy Romance English UniversalPictures GibraltarProductions LaurelProductions RockHudson PaulaPrentiss MariaPerschy JohnMcGiver CharleneHolt RoscoeKarns JamesWesterfield HowardHawks JohnFentonMurray PatFrank SteveMcNeil fishing contest screwballcomedy fiancéfiancéerelationship 
824,Scaramouche,Scaramouche,Action Adventure Drama English Loew's Metro-Goldwyn-Mayer(MGM) StewartGranger EleanorParker JanetLeigh MelFerrer HenryWilcoxon NinaFoch RichardAnderson GeorgeSidney RonaldMillar GeorgeFroeschel RafaelSabatini frenchrevolution swordduel 
825,Hulk,Hulk,Drama Action ScienceFiction English Español UniversalPictures GoodMachine ValhallaMotionPictures MarvelEnterprises EricBana JenniferConnelly SamElliott JoshLucas NickNolte PaulKersey CaraBuono AngLee StanLee JackKirby JamesSchamus JohnTurman MichaelFrance JamesSchamus JerryBingham california sanfrancisco monster general gun dna mutation psychology berkeley transformation frog president marvelcomic superhero goldengatebridge doctor fear scientist dog desert anger mirror phone military cell hulk superhumanstrength repressedmemory repression 
826,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,Action Thriller ScienceFiction English ColumbiaPictures IntermediaFilms WarnerBros. C-2Pictures IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG Mostow/LiebermanProductions ArnoldSchwarzenegger NickStahl ClaireDanes KristannaLoken DavidAndrews MarkFamiglietti EarlBoen JonathanMostow JohnD.Brancato MichaelFerris JohnD.Brancato MichaelFerris TediSarafian JamesCameron GaleAnneHurd RobertConsing savingtheworld artificialintelligence manvsmachine cyborg killerrobot sunglasses leatherjacket nanotechnology rocketlauncher firemen veterinarian fireengine dystopia psychiatrist 
827,Swimming Pool,Swimming Pool,Thriller Crime English Français France2Cinéma CanalPlus FidélitéProductions Gimages FOZ HeadforceLtd. CharlotteRampling LudivineSagnier CharlesDance Jean-MarieLamour MarcFayolle MireilleMossé MichelFau FrançoisOzon FrançoisOzon EmmanuèleBernheim EmmanuèleBernheim londonengland femalenudity women countryside basedonnovel subway provence countryhouse writing innkeeper generationsconfilct dyinganddeath daughter swimmingpool murder suspense author drug 
828,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action English WaltDisneyPictures JerryBruckheimerFilms JohnnyDepp GeoffreyRush OrlandoBloom KeiraKnightley JackDavenport JonathanPryce KevinMcNally GoreVerbinski TedElliott TerryRossio StuartBeattie JayWolpert TedElliott TerryRossio DarrinDenlinger exoticisland blacksmith eastindiatradingcompany gold marriageproposal mutiny jamaica skeleton daughter governor woodeneye goldcoin pirate alcoholic swashbuckler caribbean aftercreditsstinger pirateship capuchinmonkey tortuga 
829,Bad Boys II,Bad Boys II,Adventure Action Comedy Thriller Crime English Español ColumbiaPicturesCorporation DonSimpson/JerryBruckheimerFilms MartinLawrence WillSmith JordiMollà GabrielleUnion PeterStormare TheresaRandle JoePantoliano MichaelBay RonShelton RonShelton CormacWibberley MarianneWibberley GeorgeGallo JerryStahl RobertConsing miami kukluxklan cuba undercover mexicanstandoff ecstasy guantánamo slaughter shootout gunfight bromance gangster violence footchase interrogation carchase druglord explodinghouse narcoticscop illegaldrugs deaagent buddycop criminalunderworld actionhero haitiangang minefield 
830,Lara Croft Tomb Raider: The Cradle of Life,Lara Croft Tomb Raider: The Cradle of Life,Action Adventure Fantasy Thriller English 普通话 ParamountPictures Toho-Towa MutualFilmCompany LawrenceGordonProductions BritishBroadcastingCorporation(BBC) OctoberPictures EidosInteractive AngelinaJolie GerardButler NoahTaylor DjimonHounsou TilSchweiger SimonYam DanielCaltagirone JandeBont DeanGeorgaris riddle treasure medallion kenia alexanderthegreat pandora'sbox chinesemafia treasurehunt hongkong archaeologist basedonvideogame archeology  
831,Seabiscuit,Seabiscuit,Drama History English UniversalPictures SpyglassEntertainment TheKennedy/MarshallCompany DreamWorksPictures TouchstonePictures JeffBridges DavidMcCullough ChrisCooper TobeyMaguire ElizabethBanks GaryL.Stevens WilliamH.Macy GaryRoss LauraHillenbrand GaryRoss horserace americandream racehorse greatdepression 
832,Scorched,Scorched,Comedy Crime English CodeEntertainment EclipseCatering AliciaSilverstone RachaelLeighCook WoodyHarrelson JohnCleese DavidKrumholtz JoshuaLeonard IvanSergei GavinGrazer JoeWein MaxWein bankrobber employee independentfilm 
833,The Magdalene Sisters,The Magdalene Sisters,Drama English FilmCouncil ScottishScreen BórdScannánnahÉireann Anne-MarieDuff Nora-JaneNoone EileenWalsh MaryMurray DorothyDuffy EamonnOwens GeraldineMcEwan PeterMullan PeterMullan girls'boardingschool sexualharassment punishment irish ireland catholic conventschool 
834,Big Trouble,Big Trouble,Action Comedy English ColumbiaPicturesCorporation DelphiIIIProductions AlanArkin BeverlyD'Angelo PeterFalk CharlesDurning RobertStack PaulDooley ValerieCurtin JohnCassavetes AndrewBergman 
835,Umberto D.,Umberto D.,Drama Italiano RizzoliFilm AmatoFilm ProduzioneFilmsVittorioDeSica CarloBattisti LinaGennari IleanaSimova ElenaRea MemmoCarotenuto AlbertoAlbaniBarbieri LambertoMaggiorani VittorioDeSica CesareZavattini servant hunger despair retiree unsociability pension rent oldman hospital dog landlady elderly 
836,I Love You to Death,I Love You to Death,Action Comedy Crime English Italiano TriStarPictures KevinKline TraceyUllman JoanPlowright RiverPhoenix WilliamHurt KeanuReeves JamesGammon LawrenceKasdan JohnKostmayer wifehusbandrelationship infidelity gigolo pizza 
837,Freddy vs. Jason,Freddy vs. Jason,Horror English NewLineCinema CecchiGoriGroupTigerCinematografica AveryPix SeanS.CunninghamFilms CrystalLakeEntertainment WTCProductions YannixTechnologyCorporation RobertEnglund KenKirzinger JasonRitter MonicaKeena LochlynMunro KellyRowland ChrisMarquette RonnyYu DamianShannon MarkSwift VictorMiller WesCraven WesCraven murder marijuana teenager baddream 
838,American Splendor,American Splendor,Comedy Drama English PaulGiamatti HopeDavis JudahFriedlander JamesUrbaniak HarveyPekar JoyceBrabner DanielTay HarveyPekar ShariSpringerBerman ShariSpringerBerman RobertPulcini RobertPulcini JoyceBrabner biography independentfilm v.a.hospital junksale jellybean greetingcard fileclerk garagesale comicbookart neurotic womandirector 
839,Valley of the Dolls,Valley of the Dolls,Music Drama Romance English RedLion BarbaraParkins PattyDuke SharonTate PaulBurke TonyScotti LeeGrant SusanHayward MarkRobson HelenDeutsch DorothyKingsley basedonnovel musical drug cultclassic 
840,The Pink Panther,The Pink Panther,Comedy Crime English Français Italiano UnitedArtists MirischG-EProductions DavidNiven PeterSellers RobertWagner Capucine BrendaDeBanzie ColinGordon JohnLeMesurier BlakeEdwards MauriceRichlin BlakeEdwards slapstick clouseau pinkpanther bumbling clumsiness policeinspector 
841,生きる,Ikiru,Drama 日本語 TohoCompany TakashiShimura HaruoTanaka NobuoKaneko BokuzenHidari MikiOdagiri Shin'ichiHimori MinoruChiaki AkiraKurosawa ShinobuHashimoto AkiraKurosawa bureaucracy japan agedifference bar office nightlife senseoflife playground obsequies swing loneliness infatuation bureaucrat 
842,An Angel at My Table,An Angel at My Table,Drama English AustralianBroadcastingCorporation TelevisionNewZealand KerryFox AlexiaKeogh KarenFergusson IrisChurn JessieMune KevinJ.Wilson EdithCampion JaneCampion JanetFrame LauraJones femalenudity newzealand book insaneasylum insanity autobiography teacher author womandirector 
843,Incident at Oglala,Incident at Oglala,Documentary English SpanishForkMotionPicture RobertRedford LeonardPeltier NormanZigrossi RobertSikma DarelleButler BobRobideau NormanBrown MichaelApted authority fbi groupdynamics narration socialcontrol evidence power vigilante nativeamerican shootout trial execution fbiagent 
844,Morte a Venezia,Death in Venice,Drama English Français Italiano Polski AlfaCinematografica DirkBogarde BjörnAndrésen SilvanaMangano MarisaBerenson RomoloValli NoraRicci MarkBurns LuchinoVisconti LuchinoVisconti NicolaBadalucco ThomasMann venice beach composer obsession conductor beauty boy vacation cholera homosexuality makeover homoeroticism 
845,Bollywood/Hollywood,Bollywood/Hollywood,Comedy Drama Music Romance English DifferentTreeSameWoodProductions RahulKhanna LisaRay MoushumiChatterjee DinaPathak KulbhushanKharbanda RanjitChowdhry JessicaParé DeepaMehta tradition popstar chance toronto strokeoffate encounter fate wedding family womandirector pretendrelationship 
846,El otro lado de la cama,The Other Side of the Bed,Romance Drama Español Telespan2000 Impala ErnestoAlterio PazVega GuillermoToledo NataliaVerbeke AlbertoSanJuan MaríaEsteve RamónBarea EmilioMartínezLázaro DavidSerrano femalenudity infidelity tennisplayer one-nightstand longing relationship privatedetective 
847,Lost in Translation,Lost in Translation,Drama 日本語 English AmericanZoetrope BillMurray ScarlettJohansson AnnaFaris GiovanniRibisi AkikoTakeshita KazuyoshiMinamimagoe KazukoShibata SofiaCoppola SofiaCoppola upperclass hotelroom agedifference commercial karaoke homesickness cultureclash jetlag popstar unsociability aftercreditsstinger womandirector 
848,Daisy Miller,Daisy Miller,Drama Romance English CopadelOro CybillShepherd BarryBrown ClorisLeachman DuilioDelPrete MildredNatwick EileenBrennan JamesMcMurtry PeterBogdanovich FredericRaphael HenryJames 
849,Memoirs of an Invisible Man,Memoirs of an Invisible Man,Comedy Fantasy ScienceFiction English RegencyEnterprises AlcorFilms Canal+ WarnerBros. CorneliusProductions ChevyChase DarylHannah SamNeill MichaelMcKean StephenTobolowsky JimNorton PatSkipper JohnCarpenter H.F.Saint RobertCollector DanaOlsen WilliamGoldman invisibleman 
850,Underworld,Underworld,Fantasy Action Thriller English LakeshoreEntertainment Laurinfilm SubterraneanProductionsLLC SubterraneanProductionsUKLtd. UnderworldProduktionsGmbH KateBeckinsale ScottSpeedman MichaelSheen ShaneBrolly BillNighy ErwinLeder SophiaMyles LenWiseman DannyMcBride KevinGrevioux LenWiseman DannyMcBride CollinGrant budapest subway loveofone'slife vampire bite descendant hostility shootout werewolf blunt fangvamp 
851,Tibet: Cry of the Snow Lion,Tibet: Cry of the Snow Lion,Documentary English TomPiozet 
852,Mambo Italiano,Mambo Italiano,Comedy Romance English Français Italiano icon LukeKirby GinetteReno PaulSorvino MaryWalsh PeterMiller ClaudiaFerri SophieLorain ÉmileGaudreault ÉmileGaudreault SteveGalluccio gay fathersonrelationship sex italo-american lovesickness italian canada newlove comingout macho basedonplayormusical gayrelationship family familyfeud lgbt emigrant 
853,My Life Without Me,My Life Without Me,Drama Romance English ElDeseo MilestoneProductions SarahPolley AmandaPlummer ScottSpeedman LeonorWatling DeborahHarry MariadeMedeiros JulianRichings IsabelCoixet NanciKincaid farewell responsability dyinganddeath nightshift daughter secretlove motherdaughterrelationship womandirector 
854,Videodrome,Videodrome,Horror Mystery ScienceFiction English UniversalPictures FamousPlayersLtd GuardianTrustCompany FilmplanInternationalII JamesWoods SonjaSmits DeborahHarry PeterDvorsky JackCreley LynneGorman JulieKhaner DavidCronenberg DavidCronenberg suicide tvshow hallucination tvstation radiopresenter toronto dystopia brainwashing pittsburgh 
855,A Brief History of Time,A Brief History of Time,Documentary English AngliaTelevision NationalBroadcastingCompany TokyoBroadcastingSystem(TBS) StephenHawking IsobelHawking JanetHumphrey MaryHawking ErrolMorris StephenHawking physics stephenhawking 
856,All the President's Men,All the President's Men,Drama History Mystery Thriller Español English WildwoodEnterprises WarnerBros. RobertRedford DustinHoffman JackWarden MartinBalsam HalHolbrook JasonRobards JaneAlexander WilliamGoldman AlanJ.Pakula CarlBernstein CarlBernstein BobWoodward BobWoodward usa journalist newspaper burglar fbi wiretap watergatescandal plan shadowing politics newspaperman 
857,Boyz n the Hood,Boyz n the Hood,Crime Drama English ColumbiaPicturesCorporation LaurenceFishburne CubaGoodingJr. IceCube МоррисЧестнат AngelaBassett NiaLong TyraFerrell JohnSingleton JohnSingleton streetgang blackpeople rapmusic hip-hop streetwar rapper violenceinschools losangeles 
858,The Rookie,The Rookie,Action Crime Drama Thriller English MalpasoProductions WarnerBros. ClintEastwood CharlieSheen RaúlJuliá SôniaBraga TomSkerritt LaraFlynnBoyle XanderBerkeley ClintEastwood BoazYakin ScottSpiegel rookiecop 
859,Yankee Doodle Dandy,Yankee Doodle Dandy,Drama Music English WarnerBros. JamesCagney JoanLeslie WalterHuston RichardWhorf IreneManning GeorgeTobias RosemaryDeCamp MichaelCurtiz RobertBuckner EdmundJoseph JuliusJ.Epstein PhilipG.Epstein dancer song comeback biography singer vaudeville actor 
860,Out of Time,Out of Time,Thriller Crime Drama English OriginalFilm MonarchPictures Metro-Goldwyn-Mayer(MGM) DenzelWashington EvaMendes SanaaLathan JohnBillingsley DeanCain AlexCarter AntoniCorone CarlFranklin DavidCollard DavidJ.Negron miami florida doublemurder divorce 
861,School of Rock,School of Rock,Comedy Music English ParamountPictures ScottRudinProductions NickelodeonMovies NEWCentury MFPMunichFilmPartnersGmbH&CompanyI.ProduktionsKG SorProductions JackBlack JoanCusack MikeWhite SarahSilverman AdamPascal LucasPapaelias ChrisStack RichardLinklater MikeWhite rockandroll rock highschool musicband 
862,Mystic River,Mystic River,Thriller Crime Drama Mystery English VillageRoadshowPictures MalpasoProductions NPVEntertainment WarnerBros. SeanPenn TimRobbins KevinBacon LaurenceFishburne MarciaGayHarden LauraLinney KevinChapman ClintEastwood DennisLehane BrianHelgeland childabuse sexualabuse lossofchild repayment suppressedpast arbitrarylaw boston workers'quarter referencetosprite child 
863,Kill Bill: Vol. 1,Kill Bill: Vol. 1,Action Crime English 日本語 Français MiramaxFilms ABandApart SuperCoolManChu UmaThurman LucyLiu VivicaA.Fox DarylHannah DavidCarradine MichaelMadsen JulieDreyfus QuentinTarantino QuentinTarantino UmaThurman QuentinTarantino japan coma martialarts kungfu underworld yakuza sword bride revenge gore femaleyakuza blood wedding samuraisword partanimation 
864,Sweet Sixteen,Sweet Sixteen,Crime Drama English AltaFilmsS.A. TTornasolFilmsS.A. MartinCompston AnnmarieFulton WilliamRuane MichelleAbercromby MichelleCoulter GaryMcCormack TommyMcKee KenLoach PaulLaverty glasgow brothersisterrelationship puberty drugdealer heroin single murder teacher singlefather 
865,Holy Matrimony,Holy Matrimony,Comedy English HollywoodPictures AuroraProductions PolyGramFilmedEntertainment InterscopeCommunications PatriciaArquette JosephGordon-Levitt ArminMueller-Stahl TateDonovan JohnSchuck LoisSmith CourtneyB.Vance LeonardNimoy DavidWeisberg robbery agedifference canada hysteria crookcouple hutterer wedding amusementpark 
866,Frankenstein and the Monster from Hell,Frankenstein and the Monster from Hell,Horror ScienceFiction English HammerFilmProductions PeterCushing ShaneBriant MadelineSmith DavidProwse JohnStratton MichaelWard NormanMitchell TerenceFisher AnthonyHinds humanexperimentation insaneasylum frankenstein madscientist hammerhorror 
867,অপরাজিত,Aparajito,Drama বাংলা EpicProductions KanuBannerjee KarunaBannerjee SmaranGhosal PinakiSengupta SantiGupta RamaniSengupta Ranibala SatyajitRay SatyajitRay BibhutibhushanBandyopadhyay basedonnovel lossofmother lossoffather varanasi pneumonia lossofhusband scholarship india 
868,Człowiek z marmuru,Man of Marble,"Drama History Polski FilmPolskiFilmAgency ZespólFilmowy""X"" KrystynaJanda JerzyRadziwiłowicz JerzyRadziwiłowicz TadeuszŁomnicki JacekLomnicki MichałTarkowski PiotrCieslak AndrzejWajda AleksanderScibor-Rylski individual polen "
869,"Die, Mommie, Die!","Die, Mommie, Die!",Comedy English AviatorFilms BillKenwrightFilms CharlesBusch FrancesConroy PhilipBakerHall NatashaLyonne JasonPriestley StarkSands AngelaPaton MarkRucker CharlesBusch independentfilm 
870,The Matrix Revolutions,The Matrix Revolutions,Adventure Action Thriller ScienceFiction English Français VillageRoadshowPictures NPVEntertainment SilverPictures WarnerBros. KeanuReeves LaurenceFishburne Carrie-AnneMoss HugoWeaving MaryAlice HelmutBakaitis LambertWilson LillyWachowski LillyWachowski LanaWachowski LanaWachowski savingtheworld artificialintelligence manvsmachine flying philosophy fortuneteller kungfu undergroundworld killerrobot temple subway dream sun hero fight sunlight computervirus key future precognition supercomputer machinetown yingyang dyinganddeath virtualreality dystopia computer faith worldreligion truth rescue mission cyberpunk womandirector yinyang gnosticism 
871,Ein Lied von Liebe und Tod – Gloomy Sunday,Gloomy Sunday,Romance Drama English Deutsch Magyar StudioHamburgFilmproduktion DomFilmGmbH ErikaMarozsán JoachimKról BenBecker StefanoDionisi AndrásBálint GézaBoros RolfBecker RolfSchübel RolfSchübel NickBarkow RuthToma suicide malenudity femalenudity poison trainstation sex lovesickness budapest jealousy expensiverestaurant cemetery composer hungary birthday newlove holocaust schutzstaffel nazibackground blackmail restaurant deportation jewpersecution bathtub jew nazis menageatrois bicycle longing one-sidedlove song pianistin champagne gramophone restaurantowner revenge rescue antisemitism sexualharassment pistol piano 
872,Dans ma peau,In My Skin,Drama Horror Français MarinadeVan LaurentLucas LéaDrucker ThibaultdeMontalembert MarcRioufol DominiqueReymond MarinadeVan MarinadeVan women'ssexualidentity careerwoman vernissage wound illnessandinjury knife self-inflictedinjury insanity gore womandirector newfrenchextremism 
873,Love Actually,Love Actually,Comedy Romance Drama English Français Português UniversalPictures DNAFilms StudioCanal WorkingTitleFilms KeiraKnightley HeikeMakatsch EmmaThompson LauraLinney HughGrant JanuaryJones BillNighy RichardCurtis RichardCurtis londonengland malenudity femalenudity loveatfirstsight usapresident marseille office christmasparty marriageproposal barsandrestaurants pressconference languagebarrier primeminister rockstar tvshow metaldetector waronterror schoolperformance multiplestorylines 
874,Gothika,Gothika,Horror Thriller English ColumbiaPicturesCorporation DarkCastleEntertainment WarnerBros. HalleBerry RobertDowneyJr. CharlesS.Dutton PenélopeCruz JohnCarrollLynch BernardHill DorianHarewood MathieuKassovitz SebastianGutierrez GeofIsherwood amnesia mentalinstitution patient trust falseaccusations medication gothic mentalillness 
875,21 Grams,21 Grams,Drama Crime Thriller English ThisIsThatProductions YProductions MedianaProductionsFilmgesellschaft SeanPenn NaomiWatts BeniciodelToro DannyHuston CarlyNahon ClairePakis EddieMarsan AlejandroGonzálezIñárritu GuillermoArriaga lifeanddeath transplantation suicideattempt desperation lossoffamily ex-detainee sadness rageandhate carcrash 
876,Death Machine,Death Machine,Action Horror ScienceFiction Thriller English FugitiveFeatures ElyPouget BradDourif WilliamHootkins JohnSharian MartinMcDougall AndreasWisniewski RichardBrake StephenNorrington StephenNorrington killerrobot psychopath 
877,Final Analysis,Final Analysis,Drama Thriller Romance English WarnerBros. RichardGere KimBasinger UmaThurman EricRoberts PaulGuilfoyle KeithDavid RobertHarper WesleyStrick WesleyStrick PhilJoanou RobertBerger sex infidelity sister murder arson gangster lust psychiatrist extramaritalaffair treatment neo-noir 
878,La passion de Jeanne d'Arc,The Passion of Joan of Arc,Drama History Français Sociétégénéraledesfilms MariaFalconetti EugeneSilvain AndréBerley AntoninArtaud Jeand'Yd LouisRavet ArmandLurville CarlTheodorDreyer CarlTheodorDreyer JosephDelteil judge womanmartyr heresy courtcase suffering sentence torturechamber religion trial mentalillness dove silentfilm catholicism joanofarc forgery masterpiece judiciary burningatstake holycommunion bloodletting 
879,Das Cabinet des Dr. Caligari,The Cabinet of Dr. Caligari,Drama Horror Thriller Crime NoLanguage DeclaFilmGesellschaftHolz&Co. WernerKrauss ConradVeidt FriedrichFehér LilDagover HansHeinrichvonTwardowski RudolfLettinger HenriPeters-Arnolds CarlMayer CarlMayer RobertWiene HansJanowitz HansJanowitz insaneasylum silentfilm unreliablenarrator expressionism somnambulist unreliableflashback megalomania madman enigma somnambulism germanexpressionism 
880,Broken Blossoms,Broken Blossoms,Drama Romance NoLanguage UnitedArtists D.W.GriffithProductions LillianGish RichardBarthelmess DonaldCrisp ArthurHoward EdwardPeilSr. GeorgeBeranger NormanSelby D.W.Griffith D.W.Griffith ThomasBurke londonengland suicide china boxer buddhist murder racism alcoholic silentfilm 
881,Highlander II: The Quickening,Highlander II: The Quickening,Action Fantasy ScienceFiction English LambBearEntertainment ChristopherLambert SeanConnery VirginiaMadsen MichaelIronside JohnC.McGinley PhillipBrock RustySchwimmer GregoryWiden RussellMulcahy WilliamN.Panzer BrianClemens PeterBellwood newyork scotland immortality 
882,Kafka,Kafka,Comedy Drama Mystery English RennProductions Pricel BaltimorePictures JeremyIrons TheresaRussell ArminMueller-Stahl JoelGrey IanHolm JeroenKrabbé AlecGuinness StevenSoderbergh LemDobbs secret worker writer co-worker kafka 
883,Kindergarten Cop,Kindergarten Cop,Comedy English Español ImagineEntertainment UniversalPictures ArnoldSchwarzenegger PenelopeAnnMiller PamelaReed LindaHunt RichardTyson AlixKoromzay CarrollBaker IvanReitman MurraySalem MurraySalem HerschelWeingrod TimothyHarris crimefighter cook drugdealer dyinganddeath kindergarten kiss police teacher childreneducation 
884,Knight Moves,Knight Moves,Mystery Thriller English CinevoxFilmproduktionGmbH ChristopherLambert DianeLane TomSkerritt DanielBaldwin MarkWilson ArthurBrauss BradMirman CarlSchenkel chess chesschampion suspense 
885,Ultimo tango a Parigi,Last Tango in Paris,Drama Romance English Français UnitedArtists LesProductionsArtistesAssociés ProduzioniEuropeeAssociati(PEA) MarlonBrando MariaSchneider Jean-PierreLéaud CatherineBreillat GittMagrini Marie-HélèneBreillat MariaMichi BernardoBertolucci BernardoBertolucci AgnèsVarda FrancoArcalli paris sex nudity businessman love tragedy relationship american woman apartment extramaritalaffair parisian clandestine 
886,Lorenzo's Oil,Lorenzo's Oil,Drama English Français Magyar UniversalPictures SusanSarandon NickNolte PeterUstinov AnnHearn MadukaSteady AaronJackson LauraLinney GeorgeMiller GeorgeMiller NickEnright parentchildrelationship medicine lossofchild dyinganddeath 
887,Mr. Destiny,Mr. Destiny,Fantasy Comedy ScienceFiction Romance English Magyar TouchstonePictures JimBelushi MichaelCaine LindaHamilton JonLovitz ReneRusso CourteneyCox HartBochner JamesOrr JamesOrr JimCruickshank wish 
888,The Night of the Hunter,The Night of the Hunter,Thriller Crime English UnitedArtists TheCriterionCollection RobertMitchum ShelleyWinters BillyChapin SallyJaneBruce LillianGish JamesGleason EvelynVarden JamesAgee CharlesLaughton CharlesLaughton DavisGrubb prison window fanatic count murder children money theft doll hymn classicnoir childrenontherun filmnoir 
889,Only the Lonely,Only the Lonely,Comedy Romance ελληνικά English Gaeilge TwentiethCenturyFoxFilmCorporation HughesEntertainment JohnCandy MaureenO'Hara AllySheedy KevinDunn MiloO'Shea BertRemsen AnthonyQuinn ChrisColumbus ChrisColumbus jealousy mama'sboy fallinginlove 
890,バトル・ロワイアル,Battle Royale,Drama Thriller Adventure 日本語 NipponShuppanHanbai(Nippan)K.K. GAGA WoWow AMAssociates KobiCo. MFPictures TakeshiKitano TsuyakoKinoshita EriIshikawa SayakaIkeda TomomiShimaki TamakiMihara YukariKanasawa KoushunTakami KentaFukasaku KinjiFukasaku island television survivor soldier battle death gameofdeath schoolclass 
891,Vivre sa vie: film en douze tableaux,Vivre Sa Vie,Drama Français PathéConsortiumCinéma LesFilmsdelaPléiade TheCriterionCollection AnnaKarina SadyRebbot AndréS.Labarthe GuylaineSchlumberger GérardHoffman MoniqueMessine BriceParain Jean-LucGodard Jean-LucGodard MarcelSacotte paris philosophy prostitute pimp femaleprotagonist prostitution freewill womansmoking pinballmachine ruleoflaw 
892,Wild at Heart,Wild at Heart,Comedy Crime Thriller English SamuelGoldwyn NicolasCage LauraDern WillemDafoe J.E.Freeman CrispinGlover DianeLadd CalvinLockhart DavidLynch DavidLynch DavidLynch BarryGifford BarryGifford prison sex witch hotelroom texas lossoffather carjourney neworleans hitman snakeskinjacket fairy murder carcrash escape motherdaughterrelationship pistol violence killer bankrobbery car hoodlum 
893,What's New Pussycat?,What's New Pussycat?,Comedy Romance English FamousArtistsProductions PeterSellers PeterO'Toole RomySchneider Capucine PaulaPrentiss WoodyAllen UrsulaAndress WoodyAllen CliveDonner journalist ladykiller gigolo sextherapy fashionjournal 
894,Birdman of Alcatraz,Birdman of Alcatraz,Drama English NormaProductions BurtLancaster KarlMalden ThelmaRitter NevilleBrand BettyField TellySavalas EdmondO'Brien JohnFrankenheimer ThomasE.Gaddis GuyTrosper usa prison rebel prisoner difficultchildhood bird alcatraz ornithology biography solitaryconfinement warden 
895,"Aguirre, der Zorn Gottes",Aguirre: The Wrath of God,Adventure Drama History Deutsch Español WernerHerzogFilmproduktion HessischerRundfunk(HR) KlausKinski HelenaRojo DelNegro RuyGuerra PeterBerling CeciliaRivera EdwardRoland WernerHerzog WernerHerzog gold sentence adventure goldrush peru amazon float insanity southamerica 16thcentury conquest newgermancinema indigenouspeoples conquistador 
896,La belle et la bête,Beauty and the Beast,Drama Fantasy Romance Français Discina JeanMarais JosetteDay MarcelAndré MilaParély NaneGermon MichelAuclair RaoulMarco JeanCocteau JeanCocteau JeanCocteau JeanCocteau Jeanne-MarieLeprincedeBeaumont underdog monster beauty rose daughter 
897,The Birth of a Nation,The Birth of a Nation,Drama History War NoLanguage EpochFilmCo. LillianGish MaeMarsh HenryB.Walthall MiriamCooper MaryAlden RalphLewis JosephHenabery ThomasF.DixonJr. ThomasF.DixonJr. FrankE.Woods D.W.Griffith D.W.Griffith kukluxklan southernusa patriotism army silentfilm 
898,L'Année dernière à Marienbad,Last Year at Marienbad,Drama Romance Français SilverFilms CormoranFilms ArgosFilms Cineriz TerraFilm Cinétel DelphineSeyrig GiorgioAlbertazzi SachaPitoëff FrançoiseBertin LuceGarcia-Ville AlainResnais AlainRobbe-Grillet hotel amnesia mystery extramaritalaffair 
899,Red River,Red River,Western English Deutsch Italiano Español UnitedArtists MontereyProductions CharlesK.FeldmanGroup JohnWayne MontgomeryClift JoanneDru WalterBrennan ColeenGray HarryCarey JohnIreland HowardHawks ArthurRosson BordenChase CharlesSchnee texas dangerous kansas cattledrive revenge cattle adoptedchild cattleempire 
900,A Shot in the Dark,A Shot in the Dark,Comedy Crime English Français UnitedArtists MirischFilmsLimited PeterSellers ElkeSommer GeorgeSanders HerbertLom GrahamStark MoiraRedmond TracyReed BlakeEdwards BlakeEdwards MarcelAchard HarryKurnitz WilliamPeterBlatty LelandHayward suspicionofmurder unskillfulness pinkpanther 
901,Bullitt,Bullitt,Action Crime Drama Thriller English SolarProductions WarnerBrothers/SevenArts SteveMcQueen RobertVaughn JacquelineBisset DonGordon RobertDuvall SimonOakland NormanFell PeterYates AlanTrustman RobertL.Fish HarryKleiner sanfrancisco hotel detective basedonnovel airport witnessprotection principalwitness politician suspense organizedcrime hospital burglary gunfight explosion carchase gritty coroner mobhit fordmustang dodgecharger 
